AÑOMES,2007 ,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ENERO,26.7654,20.84282,43.63057,42.78158,38.431589,41.44486,49.162479,50.520079,53.40213,74.63458,78.660987,88.94188,112.429339,144.5629,186.94871
FEBRERO,46.227995,35.35465,45.16123,46.761269,46.334564,50.71839,46.555008,53.728808,62.390129,63.216868,65.511397,80.6064,99.0171,98.518573,108.74209
MARZO,30.853878,47.092609,49.62944,42.724849,48.369455,51.545385,54.613578,60.785529,84.335927,79.10469,81.08841,80.726779,72.81966,68.44275,75.677179
ABRIL,22.520426,30.66151,25.486239,29.122549,36.024423,41.147198,40.74908,49.50618,32.07014,32.52369,38.61622,41.92292,19.86109,17.15574,19.549069
MAYO,6.11471,8.4732,6.48576,6.16341,6.580049,10.6165,12.70191,13.33718,11.42543,10.77962,20.13088,12.90132,12.2053,9.77,10.7699
JUNIO,4.21061,4.2513,4.03948,3.4292,3.828119,3.63567,3.476399,4.0844,6.9001,5.65572,13.8395,8.20575,6.48474,5.70505,9.6069
JULIO,4.0913,4.86862,3.85693,3.89434,4.01427,3.891658,3.4111,4.5952,8.1775,6.82377,15.8803,5.6643,5.0031,11.4515,5.9045
AGOSTO,4.16852,4.8031,4.56713,3.84077,3.98546,3.865119,3.6136,5.5875,12.4874,14.06217,17.98955,7.3883,7.2988,7.5145,7.8611
SETIEMBRE,3.8955,3.3984,6.195,4.64213,3.791159,3.64515,4.36444,9.1833,18.8692,16.1791,5.71599,10.9901,14.1848,11.9978,11.539
OCTUBRE,6.5136,8.7187,10.91092,11.03395,11.84431,32.26856,52.54442,55.051,88.0023,105.6977,17.11543,44.3965,50.4965,49.6003,50.1023
NOVIEMBRE,18.19177,25.14431,29.97124,47.93745,40.119229,48.49556,81.82887,133.833,129.14713,189.4204,100.39885,104.26581,98.3897,113.01334,0
DICIEMBRE,23.04983,29.7619,34.43266,38.13645,53.579019,70.59582,85.799219,66.88503,90.73154,91.859,190.06482,159.535,141.6248,195.878009,0
